seed,step,ham_type,n_qubits,reps,eta_0,lambda_reg,tau,energy,gnorm,phase,cusum_alarm_frac,welford_mean,js_mean,ema_mean,momentum_norm,curvature_gamma,n_circuits_step,escaped,escape_mode,restarted,final_gap,n_steps_total
0,1,tfim,10,4,0.05,0.01,1.0,-7.447001939220559,4.441727370820044,active,0.0,0.0,0.0001,0.0,4.441727370820044,4.999995000005001,81,False,,False,0.012361004907637252,200
0,2,tfim,10,4,0.05,0.01,1.0,-8.335851401771912,3.5740698298472346,active,0.0,0.01691256879305402,0.0169125687959415,0.02489690653629927,3.9518578672806566,0.643912638428924,81,False,,False,0.012361004907637252,200
0,3,tfim,10,4,0.05,0.01,1.0,-8.946271522404045,2.769681391734459,active,0.0,0.03358703733810613,0.03358703734010078,0.03415780164540881,3.4385433584104494,0.3463847424470826,81,False,,False,0.012361004907637252,200
0,4,tfim,10,4,0.05,0.01,1.0,-9.334149725236932,2.1971034641134217,active,0.0,0.05213638802061663,0.05213638802218188,0.03666690182879528,2.947766777136784,0.22878524516152324,81,False,,False,0.012361004907637252,200
0,5,tfim,10,4,0.05,0.01,1.0,-9.571847546913153,1.9108697011003781,active,0.0,0.06936494331265167,0.06936494331397262,0.03738793008174128,2.514813649115433,0.17393737459410152,81,False,,False,0.012361004907637252,200
0,6,tfim,10,4,0.05,0.01,1.0,-9.722715961465966,1.816690979021862,active,0.0,0.08311704968301468,0.0831170496841862,0.03810007685403451,2.159659435155191,0.14599895326085333,81,False,,False,0.012361004907637252,200
0,7,tfim,10,4,0.05,0.01,1.0,-9.830023641778277,1.7713833920156468,active,0.0,0.09253569091268288,0.09253569091376242,0.03886016550038018,1.885143875910153,0.13152952907619683,81,False,,False,0.012361004907637252,200
0,8,tfim,10,4,0.05,0.01,1.0,-9.91704049459941,1.6886432031450673,active,0.0,0.09779476990222595,0.09779476990325295,0.03920690872768099,1.6786593518389585,0.12463261743961616,81,False,,False,0.012361004907637252,200
0,9,tfim,10,4,0.05,0.01,1.0,-9.992516443927592,1.5445572655204065,active,0.0,0.09967266527718624,0.09967266527819013,0.03881383603061741,1.5183119703835721,0.1223419166000389,81,False,,False,0.012361004907637252,200
0,10,tfim,10,4,0.05,0.01,1.0,-10.057210202932916,1.3503225699431316,active,0.0,0.09917016054544889,0.09917016054645242,0.03768226598777534,1.3814623589644708,0.12294659146373371,81,False,,False,0.012361004907637252,200
0,11,tfim,10,4,0.05,0.01,1.0,-10.109193637756608,1.1336872241938951,active,0.0,0.09724098372010784,0.09724098372112795,0.036069177823336226,1.2512774744068955,0.12532460800432704,81,False,,False,0.012361004907637252,200
0,12,tfim,10,4,0.05,0.01,1.0,-10.147145977762047,0.9298786270569039,active,0.0,0.09463954355322005,0.09463954355426744,0.034320518553705465,1.1190919715690033,0.12868085664258302,81,False,,False,0.012361004907637252,200
0,13,tfim,10,4,0.05,0.01,1.0,-10.171712468014173,0.7752776177979184,active,0.0,0.09186706237552,0.09186706237659849,0.03272121234805845,0.9836099054928781,0.13246146859064445,81,False,,False,0.012361004907637252,200
0,14,tfim,10,4,0.05,0.01,1.0,-10.185437776705315,0.694439200746956,active,0.0,0.0891883852166582,0.089188385217765,0.0314138220908086,0.848856571320191,0.1363313317126741,81,False,,False,0.012361004907637252,200
0,15,tfim,10,4,0.05,0.01,1.0,-10.191928794841944,0.6807455993191784,active,0.0,0.086689096675688,0.08668909667681549,0.030391259540771175,0.7220435904303857,0.14015165659849346,81,False,,False,0.012361004907637252,200
0,16,tfim,10,4,0.05,0.01,1.0,-10.194835985674892,0.699928511706736,active,0.0,0.08434556741345392,0.08434556741459213,0.029541114203219466,0.6115964061123913,0.14393365156630206,81,False,,False,0.012361004907637252,200
0,17,tfim,10,4,0.05,0.01,1.0,-10.197053620153557,0.7179364191630945,active,0.0,0.08208808111250655,0.08208808111364593,0.028710267286347325,0.5249413829957255,0.1477749520518969,81,False,,False,0.012361004907637252,200
0,18,tfim,10,4,0.05,0.01,1.0,-10.200318964312606,0.715512141681683,active,0.0,0.07984637467374525,0.07984637467487818,0.027763262278615548,0.465605992870077,0.15179781344388535,81,False,,False,0.012361004907637252,200
0,19,tfim,10,4,0.05,0.01,1.0,-10.205208447035545,0.6864447000775963,active,0.0,0.07757491408542436,0.07757491408654558,0.026619045734586667,0.4306991978980309,0.15610381543969432,81,False,,False,0.012361004907637252,200
0,20,tfim,10,4,0.05,0.01,1.0,-10.21141709069507,0.6327634736460322,active,0.0,0.07526058945763528,0.07526058945874167,0.025262119152184348,0.4116446112670836,0.16074980507877462,81,False,,False,0.012361004907637252,200
0,21,tfim,10,4,0.05,0.01,1.0,-10.218166371719914,0.5613167281303135,active,0.0,0.07291818010638676,0.07291818010747642,0.023732546156545953,0.39844468330016336,0.1657425247866082,81,False,,False,0.012361004907637252,200
0,22,tfim,10,4,0.05,0.01,1.0,-10.224598638590049,0.48169590184294553,active,0.0,0.07057951559120854,0.07057951559228008,0.02210364203234381,0.3836070269973571,0.1710465575922257,81,False,,False,0.012361004907637252,200
0,23,tfim,10,4,0.05,0.01,1.0,-10.230061554729158,0.4048872302963928,active,0.0,0.06828144701132065,0.06828144701237279,0.020456872312193834,0.3633877479539017,0.17659994371831528,81,False,,False,0.012361004907637252,200
0,24,tfim,10,4,0.05,0.01,1.0,-10.234242814741044,0.34184248090082686,active,0.0,0.0660561620834013,0.06605616208443256,0.018861483423328818,0.33724057303120714,0.1823322537945257,81,False,,False,0.012361004907637252,200
0,25,tfim,10,4,0.05,0.01,1.0,-10.237166267768936,0.3006102277159612,active,0.0,0.06392555996797922,0.06392555996898805,0.01736295179206058,0.30679009287432696,0.1881805668717625,81,False,,False,0.012361004907637252,200
0,26,tfim,10,4,0.05,0.01,1.0,-10.239094049103636,0.28186982411368355,active,0.0,0.06189979349102466,0.061899793492009636,0.01598076192500202,0.27487320347399613,0.19409999375995093,81,False,,False,0.012361004907637252,200
0,27,tfim,10,4,0.05,0.01,1.0,-10.240391169496064,0.27778930826410875,active,0.0,0.05997898974885755,0.059978989749817614,0.014713327935942131,0.24470055600235133,0.20006724740712456,81,False,,False,0.012361004907637252,200
0,28,tfim,10,4,0.05,0.01,1.0,-10.241402024324954,0.27759758328677486,active,0.0,0.05815668077453331,0.05815668077546795,0.01354656948871793,0.21904223742238305,0.20607786850831855,81,False,,False,0.012361004907637252,200
0,29,tfim,10,4,0.05,0.01,1.0,-10.242369812569905,0.273364137788574,active,0.0,0.05642353303684159,0.05642353303775086,0.012462708702033124,0.19942696968810808,0.21213934103096121,81,False,,False,0.012361004907637252,200
0,30,tfim,10,4,0.05,0.01,1.0,-10.243408421747205,0.2614340117814461,active,0.0,0.05477036290230023,0.05477036290318469,0.01144684717161632,0.1856351115805442,0.21826296920218263,81,False,,False,0.012361004907637252,200
