n_qubits,p,n_seeds,sigma_gap_mean,sigma_gap_std,adam_gap_mean,adam_gap_std
4,16,3,7.070172951095799e-06,1.993064860224778e-06,2.8229159128478898e-05,3.939724433947379e-05
8,32,3,0.03208606752431464,0.010095583965216579,0.09059796010125194,0.02846677622892354
12,48,3,0.12671468692056997,0.018328222432756582,0.23111925809661452,0.08263926743517583
