ham,method,seed,energy_opt,exact_E,gap,n_circuits,n_steps,wall_time
"XXZ (Jxy=1, Jz=0.5, h=0.1)",Adam (best),8,-14.171898,-15.276131,1.104234,16200,200,84.899
"XXZ (Jxy=1, Jz=0.5, h=0.1)",COBYLA,8,-10.26633,-15.276131,5.009801,200,200,1.655
"XXZ (Jxy=1, Jz=0.5, h=0.1)",SPSA,8,-4.839277,-15.276131,10.436854,600,200,2.8
"XXZ (Jxy=1, Jz=0.5, h=0.1)",Diag-QNG,8,-14.009082,-15.276131,1.267049,24400,200,116.442
"XXZ (Jxy=1, Jz=0.5, h=0.1)",QN-SPSA,8,1.05008,-15.276131,16.326211,1000,200,4.705
"XXZ (Jxy=1, Jz=0.5, h=0.1)",SIGMA-QGD v9.0,9,-12.366145,-15.276131,2.909986,16200,200,84.778
"XXZ (Jxy=1, Jz=0.5, h=0.1)",Adam (best),9,-12.591307,-15.276131,2.684824,16200,200,84.395
"XXZ (Jxy=1, Jz=0.5, h=0.1)",COBYLA,9,-8.175898,-15.276131,7.100233,200,200,1.732
"XXZ (Jxy=1, Jz=0.5, h=0.1)",SPSA,9,-6.707376,-15.276131,8.568755,600,200,2.796
"XXZ (Jxy=1, Jz=0.5, h=0.1)",Diag-QNG,9,-11.423123,-15.276131,3.853008,24400,200,115.692
"XXZ (Jxy=1, Jz=0.5, h=0.1)",QN-SPSA,9,0.647779,-15.276131,15.92391,1000,200,4.769
"XXZ (Jxy=1, Jz=0.5, h=0.1)",SIGMA-QGD v9.0,10,-12.044535,-15.276131,3.231596,16200,200,84.923
"XXZ (Jxy=1, Jz=0.5, h=0.1)",Adam (best),10,-12.621781,-15.276131,2.65435,16200,200,84.759
"XXZ (Jxy=1, Jz=0.5, h=0.1)",COBYLA,10,-9.281294,-15.276131,5.994837,200,200,1.657
"XXZ (Jxy=1, Jz=0.5, h=0.1)",SPSA,10,-10.487355,-15.276131,4.788776,600,200,2.827
"XXZ (Jxy=1, Jz=0.5, h=0.1)",Diag-QNG,10,-11.800145,-15.276131,3.475986,24400,200,116.174
"XXZ (Jxy=1, Jz=0.5, h=0.1)",QN-SPSA,10,1.331299,-15.276131,16.60743,1000,200,4.645
"XXZ (Jxy=1, Jz=0.5, h=0.1)",SIGMA-QGD v9.0,11,-12.416839,-15.276131,2.859292,16200,200,84.095
"XXZ (Jxy=1, Jz=0.5, h=0.1)",Adam (best),11,-12.16299,-15.276131,3.113141,16200,200,84.16
"XXZ (Jxy=1, Jz=0.5, h=0.1)",COBYLA,11,-11.396004,-15.276131,3.880127,200,200,1.65
"XXZ (Jxy=1, Jz=0.5, h=0.1)",SPSA,11,-10.001611,-15.276131,5.27452,600,200,2.77
"XXZ (Jxy=1, Jz=0.5, h=0.1)",Diag-QNG,11,-12.257305,-15.276131,3.018826,24400,200,116.112
"XXZ (Jxy=1, Jz=0.5, h=0.1)",QN-SPSA,11,1.262991,-15.276131,16.539122,1000,200,4.634
"XXZ (Jxy=1, Jz=0.5, h=0.1)",SIGMA-QGD v9.0,12,-14.259786,-15.276131,1.016345,16200,200,83.905
"XXZ (Jxy=1, Jz=0.5, h=0.1)",Adam (best),12,-14.245387,-15.276131,1.030744,16200,200,84.785
"XXZ (Jxy=1, Jz=0.5, h=0.1)",COBYLA,12,-11.416322,-15.276131,3.859809,200,200,1.72
"XXZ (Jxy=1, Jz=0.5, h=0.1)",SPSA,12,-13.109219,-15.276131,2.166912,600,200,2.839
"XXZ (Jxy=1, Jz=0.5, h=0.1)",Diag-QNG,12,-14.236354,-15.276131,1.039777,24400,200,117.567
"XXZ (Jxy=1, Jz=0.5, h=0.1)",QN-SPSA,12,0.034899,-15.276131,15.31103,1000,200,4.742
"XXZ (Jxy=1, Jz=0.5, h=0.1)",SIGMA-QGD v9.0,13,-14.209052,-15.276131,1.067079,16200,200,85.521
"XXZ (Jxy=1, Jz=0.5, h=0.1)",Adam (best),13,-14.249509,-15.276131,1.026622,16200,200,82.359
"XXZ (Jxy=1, Jz=0.5, h=0.1)",COBYLA,13,-8.327579,-15.276131,6.948552,200,200,1.651
"XXZ (Jxy=1, Jz=0.5, h=0.1)",SPSA,13,-5.933143,-15.276131,9.342988,600,200,2.762
"XXZ (Jxy=1, Jz=0.5, h=0.1)",Diag-QNG,13,-13.923958,-15.276131,1.352173,24400,200,114.667
"XXZ (Jxy=1, Jz=0.5, h=0.1)",QN-SPSA,13,0.736596,-15.276131,16.012727,1000,200,4.539
"XXZ (Jxy=1, Jz=0.5, h=0.1)",SIGMA-QGD v9.0,14,-12.64909,-15.276131,2.627042,16200,200,82.747
"XXZ (Jxy=1, Jz=0.5, h=0.1)",Adam (best),14,-14.194364,-15.276131,1.081767,16200,200,82.54
"XXZ (Jxy=1, Jz=0.5, h=0.1)",COBYLA,14,-8.87389,-15.276131,6.402241,200,200,1.642
"XXZ (Jxy=1, Jz=0.5, h=0.1)",SPSA,14,-7.08648,-15.276131,8.189651,600,200,2.743
"XXZ (Jxy=1, Jz=0.5, h=0.1)",Diag-QNG,14,-12.187195,-15.276131,3.088936,24400,200,114.912
"XXZ (Jxy=1, Jz=0.5, h=0.1)",QN-SPSA,14,1.617987,-15.276131,16.894118,1000,200,4.697
