n_shots,gap_mean,gap_std,n_seeds
inf,0.259601,0.053748,3
100,0.114799,0.028892,3
500,0.144271,0.037748,3
1000,0.186938,0.010339,3
5000,0.239271,0.011658,3
10000,0.241371,0.028965,3
