config,gap_mean,gap_std,circuits_mean,ratio,n_seeds
Precond: raw (sigma_hat^2),0.234961,0.066224,9800.0,1.0,5
Precond: shrunk (sigma_tilde^2),0.23246,0.069236,9800.0,0.9894,5
