n_qubits,p,n_seeds,sigma_gap_mean,sigma_gap_std,adam_gap_mean,adam_gap_std
4,8,3,0.042176176084636786,0.03244015788170429,0.04967562214751423,0.029219782097065616
8,16,3,0.09984769299536704,0.07651443921004861,0.2101909136553489,0.03292368906133557
10,20,3,0.3000927426529536,0.0950888206498384,0.4150773941181895,0.03002527263410827
12,24,3,0.33971877710264425,0.0743355145795633,0.4227381366753864,0.05247168978223193
