seed,step,ham_type,n_qubits,reps,eta_0,lambda_reg,tau,energy,gnorm,phase,cusum_alarm_frac,welford_mean,js_mean,ema_mean,momentum_norm,curvature_gamma,n_circuits_step,escaped,escape_mode,restarted,final_gap,n_steps_total
0,1,tfim,12,2,0.05,0.01,1.0,-10.730083535714538,3.326423931853066,active,0.0,0.0,0.0001,0.0,3.326423931853066,4.999995000005001,49,False,,False,0.170310900139512,200
0,2,tfim,12,2,0.05,0.01,1.0,-11.202045638406512,2.4016546393619294,active,0.0,0.027978876508280775,0.02797887651277829,0.01873653085918991,2.7899941457161397,0.4101200702494304,49,False,,False,0.170310900139512,200
0,3,tfim,12,2,0.05,0.01,1.0,-11.479015240150286,1.7672872090238307,active,0.0,0.0457449723808391,0.04574497238417171,0.024787866419677757,2.3149054471640502,0.2590943415531652,49,False,,False,0.170310900139512,200
0,4,tfim,12,2,0.05,0.01,1.0,-11.638893120233579,1.4241204096604763,active,0.0,0.06049200040638234,0.06049200040918021,0.026576972572725024,1.920922239691084,0.19843788772008555,49,False,,False,0.170310900139512,200
0,5,tfim,12,2,0.05,0.01,1.0,-11.736125651897385,1.2673708525325973,active,0.0,0.07064675787514844,0.07064675787766972,0.027201549314578966,1.61268864934,0.17088931807630495,49,False,,False,0.170310900139512,200
0,6,tfim,12,2,0.05,0.01,1.0,-11.802398567980962,1.1726332394916315,active,0.0,0.07629335228744637,0.07629335228981744,0.02736065028655132,1.3811198814119283,0.15864281999059576,49,False,,False,0.170310900139512,200
0,7,tfim,12,2,0.05,0.01,1.0,-11.853109992402578,1.0762442927274716,active,0.0,0.07838537397295244,0.07838537397523221,0.027071173065747925,1.2082940304719219,0.15453967756680867,49,False,,False,0.170310900139512,200
0,8,tfim,12,2,0.05,0.01,1.0,-11.894451271006613,0.9694576835545988,active,0.0,0.07809929954105437,0.0780992995432589,0.0263596536045838,1.0748138572210137,0.1550881916276763,49,False,,False,0.170310900139512,200
0,9,tfim,12,2,0.05,0.01,1.0,-11.928658446616689,0.8669832041318989,active,0.0,0.07645008971956918,0.07645008972169015,0.025376481166909645,0.9659684561098593,0.15832787079255184,49,False,,False,0.170310900139512,200
0,10,tfim,12,2,0.05,0.01,1.0,-11.956936819938697,0.7846478966199782,active,0.0,0.07414118374942692,0.07414118375145014,0.02430106854573852,0.8738404500405993,0.16309768430930918,49,False,,False,0.170310900139512,200
0,11,tfim,12,2,0.05,0.01,1.0,-11.980542475581794,0.7271364121223313,active,0.0,0.07157147501008722,0.07157147501200545,0.023244817861620203,0.7957397134427658,0.16875591550469238,49,False,,False,0.170310900139512,200
0,12,tfim,12,2,0.05,0.01,1.0,-12.000809314874918,0.6862344395676641,active,0.0,0.06891966369692122,0.06891966369873714,0.022223243534784692,0.7310731642402954,0.17502182053798024,49,False,,False,0.170310900139512,200
0,13,tfim,12,2,0.05,0.01,1.0,-12.018822569290483,0.6482885981851219,active,0.0,0.06624437654206157,0.06624437654378466,0.021188340122217264,0.6786013466093209,0.1818330483769708,49,False,,False,0.170310900139512,200
0,14,tfim,12,2,0.05,0.01,1.0,-12.035176810960037,0.6028163893058969,active,0.0,0.06356318055522618,0.06356318055686845,0.020082700885143735,0.6352786349078524,0.18921280237966281,49,False,,False,0.170310900139512,200
0,15,tfim,12,2,0.05,0.01,1.0,-12.049975408375653,0.5462269838137993,active,0.0,0.06089690801738096,0.06089690801895422,0.01888099160909405,0.5968436784642797,0.19717049140072826,49,False,,False,0.170310900139512,200
0,16,tfim,12,2,0.05,0.01,1.0,-12.063026099288676,0.4813212545257476,active,0.0,0.058282540006849404,0.0582825400083638,0.017603132632709087,0.5592984684479214,0.2056511538422634,49,False,,False,0.170310900139512,200
0,17,tfim,12,2,0.05,0.01,1.0,-12.074098762095826,0.415124570551093,active,0.0,0.05576643532054567,0.055766435322009346,0.01630208587623407,0.5201550699470874,0.21453173503584771,49,False,,False,0.170310900139512,200
0,18,tfim,12,2,0.05,0.01,1.0,-12.083120729986394,0.35627477528118456,active,0.0,0.05339086704086293,0.05339086704228202,0.015039527980787892,0.4788904419776873,0.2236501257304827,49,False,,False,0.170310900139512,200
0,19,tfim,12,2,0.05,0.01,1.0,-12.090248134022872,0.31192738190974284,active,0.0,0.051183259298035876,0.05118325929941486,0.013863585553329665,0.4366716080695596,0.23284725222224373,49,False,,False,0.170310900139512,200
0,20,tfim,12,2,0.05,0.01,1.0,-12.095821482505839,0.28435627070558545,active,0.0,0.04915226319379292,0.04915226319513519,0.012797304995692422,0.3956510666709205,0.24200293698834072,49,False,,False,0.170310900139512,200
0,21,tfim,12,2,0.05,0.01,1.0,-12.10025778181584,0.269605473447035,active,0.0,0.047290323400408125,0.047290323401716274,0.011839243764305596,0.3581089416656987,0.25105278533430003,49,False,,False,0.170310900139512,200
0,22,tfim,12,2,0.05,0.01,1.0,-12.103940021070654,0.2604123490624383,active,0.0,0.04557992125457849,0.04557992125585477,0.01097220037492983,0.3256658259633439,0.2599837733480113,49,False,,False,0.170310900139512,200
0,23,tfim,12,2,0.05,0.01,1.0,-12.107146219455204,0.2505972632719985,active,0.0,0.04400029164090269,0.04400029164214913,0.010174209376925503,0.2987896793233283,0.2688155038788179,49,False,,False,0.170310900139512,200
0,24,tfim,12,2,0.05,0.01,1.0,-12.110031262044737,0.23709459513168157,active,0.0,0.04253238602707198,0.04253238602829043,0.009427056360903423,0.27678166374176216,0.2775779923928622,49,False,,False,0.170310900139512,200
0,25,tfim,12,2,0.05,0.01,1.0,-12.112650579675389,0.21966272714928345,active,0.0,0.04116127277963124,0.0411612727808234,0.008720174245777116,0.25822598272571545,0.2862948899211717,49,False,,False,0.170310900139512,200
0,26,tfim,12,2,0.05,0.01,1.0,-12.11500319663901,0.19979149268104668,active,0.0,0.03987632390834938,0.039876323909516724,0.008050285154318803,0.24162391364620767,0.2949760174949269,49,False,,False,0.170310900139512,200
0,27,tfim,12,2,0.05,0.01,1.0,-12.117072754289943,0.17961392551523347,active,0.0,0.038670115853080396,0.03867011585422419,0.007418596990670097,0.22587167854692772,0.30361826732676217,49,False,,False,0.170310900139512,200
0,28,tfim,12,2,0.05,0.01,1.0,-12.118853816867865,0.16103669924446515,active,0.0,0.03753699531602867,0.03753699531714997,0.006827573382263259,0.21042856705734944,0.3122112216664674,49,False,,False,0.170310900139512,200
0,29,tfim,12,2,0.05,0.01,1.0,-12.120360918201765,0.14516552473405775,active,0.0,0.036471947174460596,0.0364719471755603,0.006278651200694498,0.19523093779082618,0.32074351179283184,49,False,,False,0.170310900139512,200
0,30,tfim,12,2,0.05,0.01,1.0,-12.121624971043031,0.13212830202789494,active,0.0,0.03547000234408476,0.03547000234516365,0.005771359595830943,0.18048859436889583,0.3292072268973476,49,False,,False,0.170310900139512,200
0,31,tfim,12,2,0.05,0.01,1.0,-12.122684236792539,0.12133120051217382,active,0.0,0.03452611864527065,0.03452611864632943,0.005303567474166995,0.1664803589193578,0.3375995003893792,49,False,,False,0.170310900139512,200
0,32,tfim,12,2,0.05,0.01,1.0,-12.12357586128994,0.11195956665275528,active,0.0,0.03363532706049028,0.033635327061529614,0.004872264264206777,0.15341567085295094,0.3459218485630549,49,False,,False,0.170310900139512,200
0,33,tfim,12,2,0.05,0.01,1.0,-12.124331012192362,0.10340040600745701,active,0.0,0.032792938322144666,0.03279293832316521,0.004474327592519239,0.14138199165540563,0.3541784761715532,49,False,,False,0.170310900139512,200
0,34,tfim,12,2,0.05,0.01,1.0,-12.124973812142652,0.09539548038464107,active,0.0,0.03199468463554538,0.031994684636547754,0.004106979794056176,0.1303616335715871,0.36237464485130105,49,False,,False,0.170310900139512,200
0,35,tfim,12,2,0.05,0.01,1.0,-12.125522630390062,0.08795616301590774,active,0.0,0.031236761959216663,0.03123676196020145,0.003767898425935133,0.12028142500970998,0.37051567334238195,49,False,,False,0.170310900139512,200
0,36,tfim,12,2,0.05,0.01,1.0,-12.125992013942712,0.0811777919088638,active,0.0,0.03051579855600588,0.030515798556973662,0.0034551082394203123,0.1110586078698172,0.3786065944241609,49,False,,False,0.170310900139512,200
0,37,tfim,12,2,0.05,0.01,1.0,-12.126394128381882,0.07508304152290993,active,0.0,0.029828795046013008,0.02982879504696434,0.0031668174241641,0.1026225721761534,0.38665217851697,49,False,,False,0.170310900139512,200
0,38,tfim,12,2,0.05,0.01,1.0,-12.126739393448023,0.06956748990897951,active,0.0,0.029173070913683014,0.029173070914618418,0.0029013083020399664,0.09491251545046464,0.39465699576220803,49,False,,False,0.170310900139512,200
0,39,tfim,12,2,0.05,0.01,1.0,-12.12703657243063,0.06444900077235334,active,0.0,0.028546230857923505,0.028546230858843506,0.0026569130381790106,0.08786442923635232,0.40262533157858255,49,False,,False,0.170310900139512,200
0,40,tfim,12,2,0.05,0.01,1.0,-12.127292747471557,0.059564959822994784,active,0.0,0.02794614655575046,0.02794614655665556,0.002432046079159892,0.0814025365869847,0.41056095393578473,49,False,,False,0.170310900139512,200
0,41,tfim,12,2,0.05,0.01,1.0,-12.123154054192229,0.17279205613089602,local_min,0.0,0.027452518745099876,0.027452518745997634,0.00240460046420142,0.061409316676595146,0.4173271390983474,49,False,,False,0.170310900139512,200
0,42,tfim,12,2,0.05,0.01,1.0,-12.118171968456727,0.23610163686311786,local_min,0.0,0.027023877522495826,0.027023877523390152,0.002473934904831173,0.05583581767484695,0.42338608578803266,49,False,,False,0.170310900139512,200
0,43,tfim,12,2,0.05,0.01,1.0,-12.118003042905405,0.2980979054556037,local_min,0.0,0.02665372179192724,0.02665372179282181,0.0026320853979549495,0.061561196049232145,0.4287616866659225,49,False,,False,0.170310900139512,200
0,44,tfim,12,2,0.05,0.01,1.0,-12.118648373656141,0.4020240639084713,local_min,0.0,0.026344674242528638,0.026344674243427513,0.002998261330199488,0.07277557384715803,0.43335552384852977,49,False,,False,0.170310900139512,200
0,45,tfim,12,2,0.05,0.01,1.0,-12.125155557152247,0.34782374412718287,local_min,0.0,0.026001014132068147,0.02600101413296706,0.003175564206656724,0.06475246645036052,0.438580846478842,49,False,,False,0.170310900139512,200
0,46,tfim,12,2,0.05,0.01,1.0,-12.133139442031307,0.1679606679900537,local_min,0.0,0.025567529671228693,0.025567529672118394,0.0029692223562034804,0.07013947209881281,0.4453544374240864,49,False,,False,0.170310900139512,200
0,47,tfim,12,2,0.05,0.01,1.0,-12.132809418645653,0.3167257423086016,local_min,0.0,0.025202532212258322,0.025202532213143922,0.0030291722158344203,0.07575874242811204,0.4512222484272811,49,False,,False,0.170310900139512,200
0,48,tfim,12,2,0.05,0.01,1.0,-12.140953366852566,0.19314812922382482,active,0.0,0.024786078550866897,0.024786078551742818,0.0028644845707165075,0.06830942928504867,0.4581090255026882,49,False,,False,0.170310900139512,200
0,49,tfim,12,2,0.05,0.01,1.0,-12.145071132404492,0.24760250792503963,active,0.0,0.024394516577780124,0.024394516578647756,0.0027850714592961346,0.07535368835739498,0.464778714348803,49,False,,False,0.170310900139512,200
0,50,tfim,12,2,0.05,0.01,1.0,-12.151042057745947,0.2209914443661229,active,0.0,0.02399551096625933,0.02399551096711706,0.002675133992713343,0.0735199501272418,0.4717779867115279,49,False,,False,0.170310900139512,200
