n_shots,gap_mean,gap_std,n_seeds
inf,0.283264,0.034449,3
100,0.283264,0.034449,3
500,0.283264,0.034449,3
1000,0.283264,0.034449,3
5000,0.283264,0.034449,3
10000,0.283264,0.034449,3
